Word	Classification
sore	Spelling/Format Variant
sour	External Word (Not in Oxford 3000/5000)
soy	Spelling/Format Variant
spaceship	External Word (Not in Oxford 3000/5000)
spare	Spelling/Format Variant
specie	Spelling/Format Variant
stability	Oxford 5000 Expanded (C1)
stain	Spelling/Format Variant
stapler	External Word (Not in Oxford 3000/5000)
starter	External Word (Not in Oxford 3000/5000)
starting	External Word (Not in Oxford 3000/5000)
steak	External Word (Not in Oxford 3000/5000)
steaming	External Word (Not in Oxford 3000/5000)
stir	Oxford 5000 Expanded (C1)
storage	Oxford 5000 Expanded (C1)
storytelling	External Word (Not in Oxford 3000/5000)
stove	External Word (Not in Oxford 3000/5000)
strawberry	External Word (Not in Oxford 3000/5000)
streaming	External Word (Not in Oxford 3000/5000)
stressed	External Word (Not in Oxford 3000/5000)
stressful	External Word (Not in Oxford 3000/5000)
stretching	External Word (Not in Oxford 3000/5000)
stylish	External Word (Not in Oxford 3000/5000)
subscribe	External Word (Not in Oxford 3000/5000)
subtitle	External Word (Not in Oxford 3000/5000)
suitcase	External Word (Not in Oxford 3000/5000)
sunny	External Word (Not in Oxford 3000/5000)
sunset	External Word (Not in Oxford 3000/5000)
superior	Oxford 5000 Expanded (C1)
supportive	Oxford 5000 Expanded (C1)
surprisingly	External Word (Not in Oxford 3000/5000)
sustainable	Oxford 5000 Expanded (B2)
swell	Spelling/Format Variant
t	External Word (Not in Oxford 3000/5000)
tablecloth	External Word (Not in Oxford 3000/5000)
takeoff	External Word (Not in Oxford 3000/5000)
tasty	External Word (Not in Oxford 3000/5000)
teams	External Word (Not in Oxford 3000/5000)
teamwork	External Word (Not in Oxford 3000/5000)
technician	External Word (Not in Oxford 3000/5000)
temple	Oxford 5000 Expanded (B2)
terminal	Oxford 5000 Expanded (B2, C1)
textbook	Oxford 5000 Expanded (B2)
thailand	External Word (Not in Oxford 3000/5000)
thankful	External Word (Not in Oxford 3000/5000)
theater	External Word (Not in Oxford 3000/5000)
thermometer	External Word (Not in Oxford 3000/5000)
these	Spelling/Format Variant
thoroughly	Oxford 5000 Expanded (B2)
those	Spelling/Format Variant
thoughtful	Oxford 5000 Expanded (C1)
thoughtfully	External Word (Not in Oxford 3000/5000)
thrilling	External Word (Not in Oxford 3000/5000)
thumb	Oxford 5000 Expanded (B2)
timeline	External Word (Not in Oxford 3000/5000)
timet	External Word (Not in Oxford 3000/5000)
timetable	External Word (Not in Oxford 3000/5000)
timing	Oxford 5000 Expanded (B2)
tiring	External Word (Not in Oxford 3000/5000)
toast	External Word (Not in Oxford 3000/5000)
toddler	External Word (Not in Oxford 3000/5000)
tokyo	External Word (Not in Oxford 3000/5000)
tom	External Word (Not in Oxford 3000/5000)
toothache	External Word (Not in Oxford 3000/5000)
torch	External Word (Not in Oxford 3000/5000)
touchpad	External Word (Not in Oxford 3000/5000)
toward	Spelling/Format Variant
trail	Oxford 5000 Expanded (C1)
transaction	Oxford 5000 Expanded (C1)
transportation	Oxford 5000 Expanded (B2)
trash	External Word (Not in Oxford 3000/5000)
traveler	Spelling/Format Variant
traveling	External Word (Not in Oxford 3000/5000)
trespassing	External Word (Not in Oxford 3000/5000)
tricky	External Word (Not in Oxford 3000/5000)
trouser	Spelling/Format Variant
tutor	External Word (Not in Oxford 3000/5000)
tutorial	External Word (Not in Oxford 3000/5000)
uh	External Word (Not in Oxford 3000/5000)
uncertain	External Word (Not in Oxford 3000/5000)
understandable	External Word (Not in Oxford 3000/5000)
unfairly	External Word (Not in Oxford 3000/5000)
unforgettable	External Word (Not in Oxford 3000/5000)
uninstall	External Word (Not in Oxford 3000/5000)
unload	External Word (Not in Oxford 3000/5000)
unrealistic	External Word (Not in Oxford 3000/5000)
unreliable	External Word (Not in Oxford 3000/5000)
unstable	External Word (Not in Oxford 3000/5000)
unwell	External Word (Not in Oxford 3000/5000)
upgrade	Oxford 5000 Expanded (C1)
upload	External Word (Not in Oxford 3000/5000)
url	External Word (Not in Oxford 3000/5000)
usb	External Word (Not in Oxford 3000/5000)
userfriendly	External Word (Not in Oxford 3000/5000)
varied	Oxford 5000 Expanded (C1)
venus	External Word (Not in Oxford 3000/5000)
viewpoint	Oxford 5000 Expanded (B2)
viral	External Word (Not in Oxford 3000/5000)
visa	Spelling/Format Variant
vocabulary	External Word (Not in Oxford 3000/5000)
voter	External Word (Not in Oxford 3000/5000)
voting	Oxford 5000 Expanded (B2)
vr	External Word (Not in Oxford 3000/5000)
waitress	External Word (Not in Oxford 3000/5000)
walking	External Word (Not in Oxford 3000/5000)
wallet	External Word (Not in Oxford 3000/5000)
